"","Organism","Assembly","Level","Symbiotic"
"1","Ensifer_adhaerens","GCA_000697965.2","Complete","N"
"2","Ensifer_adhaerens","GCA_001270265.1","Contig","N"
"3","Ensifer_adhaerens","GCA_003269115.1","Scaffold","N"
"4","Ensifer_adhaerens","GCA_013283195.1","Scaffold","N"
"5","Ensifer_adhaerens","GCA_000583045.1","Chromosome","N"
"6","Ensifer_alkalisoli","GCA_001723275.1","Scaffold","Y"
"7","Ensifer_glycinis","GCA_001651865.1","Contig","Y"
"8","Ensifer_psoraleae","GCA_013283645.1","Scaffold","Y"
"9","Ensifer_sesbaniae","GCA_013283665.1","Scaffold","Y"
"10","Ensifer_sp","GCA_001976035.1","Contig","N"
"11","Ensifer_sp","GCA_001695835.1","Contig","N"
"12","Ensifer_sp","GCA_001695795.1","Contig","N"
"13","Ensifer_sp","GCA_001695785.1","Contig","N"
"14","Ensifer_sp","GCA_001695855.1","Contig","N"
"15","Ensifer_sp","GCA_001695865.1","Contig","N"
"16","Ensifer_sp","GCA_001695895.1","Contig","N"
"17","Ensifer_sp","GCA_001695905.1","Contig","N"
"18","Ensifer_sp","GCA_001854885.1","Contig","Y"
"19","Ensifer_sp","GCA_003355565.1","Scaffold","N"
"20","Ensifer_sp","GCA_002885935.1","Contig","Y"
"21","Ensifer_sp","GCA_003024455.1","Contig","N"
"22","Ensifer_sp","GCA_900113205.1","Scaffold","N"
"23","Ensifer_sp","GCA_001425885.1","Scaffold","N"
"24","Ensifer_sp","GCA_001425225.1","Scaffold","N"
"25","Ensifer_sp","GCA_001426365.1","Contig","N"
"26","Ensifer_sp","GCA_001426465.1","Contig","N"
"27","Ensifer_sp","GCA_001426785.1","Scaffold","N"
"28","Ensifer_sp","GCA_001428785.1","Scaffold","N"
"29","Ensifer_sp","GCA_001429745.1","Scaffold","N"
"30","Ensifer_sp","GCA_001429285.1","Scaffold","N"
"31","Ensifer_sp","GCA_001424825.1","Scaffold","N"
"32","Ensifer_sp","GCA_001426275.1","Scaffold","N"
"33","Ensifer_sp","GCA_001427045.1","Scaffold","N"
"34","Ensifer_sp","GCA_001429125.1","Contig","N"
"35","Ensifer_sp","GCA_001429005.1","Scaffold","N"
"36","Ensifer_sp","GCA_900103045.1","Scaffold","N"
"37","Sinorhizobium_americanum","GCA_001651855.1","Contig","Y"
"38","Sinorhizobium_americanum","GCA_001889105.1","Complete","Y"
"39","Sinorhizobium_americanum","GCA_002909045.1","Contig","Y"
"40","Sinorhizobium_americanum","GCA_002909075.1","Contig","Y"
"41","Sinorhizobium_americanum","GCA_000705595.2","Complete","Y"
"42","Sinorhizobium_fredii","GCA_002531965.1","Contig","Y"
"43","Sinorhizobium_fredii","GCA_002944405.1","Complete","Y"
"44","Sinorhizobium_fredii","GCA_003177055.1","Complete","Y"
"45","Sinorhizobium_fredii","GCA_000283895.1","Chromosome","Y"
"46","Sinorhizobium_fredii","GCA_000018545.1","Complete","Y"
"47","Sinorhizobium_fredii","GCA_001461695.1","Contig","Y"
"48","Sinorhizobium_medicae","GCA_002864945.1","Scaffold","Y"
"49","Sinorhizobium_medicae","GCA_002864955.1","Scaffold","Y"
"50","Sinorhizobium_medicae","GCA_002864985.1","Scaffold","Y"
"51","Sinorhizobium_medicae","GCA_002865005.1","Scaffold","Y"
"52","Sinorhizobium_medicae","GCA_002865025.1","Scaffold","Y"
"53","Sinorhizobium_medicae","GCA_002865035.1","Scaffold","Y"
"54","Sinorhizobium_medicae","GCA_002865045.1","Scaffold","Y"
"55","Sinorhizobium_medicae","GCA_002865055.1","Scaffold","Y"
"56","Sinorhizobium_medicae","GCA_002865105.1","Scaffold","Y"
"57","Sinorhizobium_medicae","GCA_002865125.1","Scaffold","Y"
"58","Sinorhizobium_medicae","GCA_002865145.1","Scaffold","Y"
"59","Sinorhizobium_medicae","GCA_002865155.1","Scaffold","Y"
"60","Sinorhizobium_medicae","GCA_002865185.1","Scaffold","Y"
"61","Sinorhizobium_medicae","GCA_002865225.1","Scaffold","Y"
"62","Sinorhizobium_medicae","GCA_002865265.1","Scaffold","Y"
"63","Sinorhizobium_medicae","GCA_000017145.1","Complete","Y"
"64","Sinorhizobium_meliloti","GCA_000747295.1","Complete","Y"
"65","Sinorhizobium_meliloti","GCA_000968555.1","Contig","Y"
"66","Sinorhizobium_meliloti","GCA_002197025.1","Complete","Y"
"67","Sinorhizobium_meliloti","GCA_002197065.1","Complete","Y"
"68","Sinorhizobium_meliloti","GCA_002197085.1","Complete","Y"
"69","Sinorhizobium_meliloti","GCA_002197105.1","Complete","Y"
"70","Sinorhizobium_meliloti","GCA_002197125.1","Complete","N"
"71","Sinorhizobium_meliloti","GCA_002197145.1","Complete","Y"
"72","Sinorhizobium_meliloti","GCA_002197165.1","Complete","Y"
"73","Sinorhizobium_meliloti","GCA_002197445.1","Complete","Y"
"74","Sinorhizobium_meliloti","GCA_002197465.1","Complete","Y"
"75","Sinorhizobium_meliloti","GCA_002215195.1","Complete","Y"
"76","Sinorhizobium_meliloti","GCA_002302355.1","Complete","Y"
"77","Sinorhizobium_meliloti","GCA_002302375.1","Complete","Y"
"78","Sinorhizobium_meliloti","GCA_002807095.1","Scaffold","Y"
"79","Sinorhizobium_meliloti","GCA_003034185.1","Scaffold","Y"
"80","Sinorhizobium_meliloti","GCA_003044175.2","Contig","Y"
"81","Sinorhizobium_meliloti","GCA_003044215.2","Contig","Y"
"82","Sinorhizobium_meliloti","GCA_003692735.1","Scaffold","N"
"83","Sinorhizobium_meliloti","GCA_900107055.1","Scaffold","Y"
"84","Sinorhizobium_meliloti","GCA_900108935.1","Scaffold","Y"
"85","Sinorhizobium_meliloti","GCA_000006965.1","Complete","Y"
"86","Sinorhizobium_meliloti","GCA_000346065.1","Complete","Y"
"87","Sinorhizobium_meliloti","GCA_000147775.3","Complete","Y"
"88","Sinorhizobium_meliloti","GCA_000236945.2","Contig","Y"
"89","Sinorhizobium_meliloti","GCA_000320385.2","Complete","Y"
"90","Sinorhizobium_meliloti","GCA_000304415.1","Complete","Y"
"91","Sinorhizobium_meliloti","GCA_001050915.2","Complete","Y"
"92","Sinorhizobium_meliloti","GCA_000218265.1","Complete","Y"
"93","Sinorhizobium_saheli","GCA_001651875.1","Scaffold","Y"
"94","Sinorhizobium_sp","GCA_002002725.1","Contig","N"
"95","Sinorhizobium_sp","GCA_002531555.1","Contig","Y"
"96","Sinorhizobium_sp","GCA_002531875.1","Contig","Y"
"97","Sinorhizobium_sp","GCA_001461715.1","Contig","N"
"98","Sinorhizobium_sp","GCA_001461685.1","Contig","Y"
"99","Sinorhizobium_sp","GCA_001461765.1","Contig","N"
"100","Sinorhizobium_sp","GCA_002216665.1","Contig","N"
"101","Sinorhizobium_sp","GCA_002885915.1","Contig","N"
"102","Sinorhizobium_sp","GCA_900103435.1","Scaffold","N"
"103","Sinorhizobium_sp","GCA_002532005.1","Contig","Y"
"104","Sinorhizobium_sp","GCA_001461705.1","Contig","N"
